цена,общая площадь,жилая площадь,площадь кухни,количество комнат,расстояние до общественного транспорта,этаж,общая этажность дома,высота потолков,ссылка на объявление
1500000.0,49.0,17.0,13.0,1,1387,7,7,3.0,https://www.cian.ru/sale/flat/323667776
5500000.0,32.0,20.0,7.0,1,110,1,5,3.0,https://www.cian.ru/sale/flat/331370205
5000000.0,38.0,20.0,8.0,1,210,2,5,2.8,https://www.cian.ru/sale/flat/330932222
5900000.0,56.9,26.0,14.9,1,189,7,7,2.8,https://www.cian.ru/sale/flat/326966395
5000000.0,49.46,20.7,12.9,1,395,11,14,3.0,https://www.cian.ru/sale/flat/330833031
2650000.0,44.0,17.0,13.0,1,1450,4,8,3.0,https://www.cian.ru/sale/flat/331510517
2760000.0,46.0,17.0,13.0,1,1817,4,14,3.0,https://www.cian.ru/sale/flat/331509146
1500000.0,37.0,20.0,15.0,1,135,7,16,3.2,https://www.cian.ru/sale/flat/331680357
2300000.0,47.0,25.0,19.0,1,269,4,16,3.2,https://www.cian.ru/sale/flat/331680025
2070000.0,46.0,25.0,18.0,1,351,3,16,3.2,https://www.cian.ru/sale/flat/331627198
2300000.0,48.0,26.0,19.0,1,187,7,16,3.2,https://www.cian.ru/sale/flat/331581676
2070000.0,46.0,25.0,18.0,1,302,5,16,3.2,https://www.cian.ru/sale/flat/331579450
1665000.0,37.0,20.0,15.0,1,345,6,16,3.2,https://www.cian.ru/sale/flat/331573687
6800000.0,55.0,48.0,5.0,1,638,12,13,3.2,https://www.cian.ru/sale/flat/331446614
6750000.0,54.0,25.8,16.0,1,1405,11,11,2.87,https://www.cian.ru/sale/flat/330948878
5000000.0,59.0,31.6,8.0,1,1226,13,15,3.07,https://www.cian.ru/sale/flat/330685656
4999000.0,45.0,17.2,16.9,1,675,2,6,2.8,https://www.cian.ru/sale/flat/330783905
3900000.0,50.0,22.0,14.0,1,336,10,12,3.0,https://www.cian.ru/sale/flat/330999099
3635000.0,59.0,18.7,16.4,1,1676,3,9,3.0,https://www.cian.ru/sale/flat/331083219
4200000.0,48.8,22.4,13.3,1,311,5,12,3.0,https://www.cian.ru/sale/flat/330783908
3900000.0,50.0,22.0,14.0,1,422,11,12,3.0,https://www.cian.ru/sale/flat/331119041
11290000.0,44.0,26.1,9.1,1,379,12,13,3.0,https://www.cian.ru/sale/flat/330877609
5000000.0,49.0,23.0,10.0,1,878,7,13,3.2,https://www.cian.ru/sale/flat/331332720
7250000.0,53.0,34.0,7.5,1,162,9,10,2.8,https://www.cian.ru/sale/flat/331346062
2000000.0,44.0,22.0,14.0,1,1927,5,12,3.0,https://www.cian.ru/sale/flat/330990549
4600000.0,55.0,25.0,15.0,1,235,1,5,2.5,https://www.cian.ru/sale/flat/331398323
4000000.0,50.0,20.0,25.0,1,137,10,14,3.0,https://www.cian.ru/sale/flat/330638406
4400000.0,60.0,38.0,9.5,1,139,6,6,2.84,https://www.cian.ru/sale/flat/315286255
4600000.0,33.8,18.0,7.0,1,1741,2,9,2.7,https://www.cian.ru/sale/flat/329509241
3600000.0,42.0,20.0,17.0,1,341,3,3,3.0,https://www.cian.ru/sale/flat/330837011
4800000.0,45.5,22.0,14.0,1,423,7,7,2.8,https://www.cian.ru/sale/flat/326966125
6980000.0,46.0,25.0,12.0,1,392,6,10,3.0,https://www.cian.ru/sale/flat/274216970
4650000.0,35.0,20.0,10.0,1,489,2,4,3.0,https://www.cian.ru/sale/flat/328630667
3400000.0,38.0,16.0,6.0,1,251,7,17,2.6,https://www.cian.ru/sale/flat/329606184
5175000.0,45.0,25.0,15.0,1,1238,1,8,3.0,https://www.cian.ru/sale/flat/329124055
5500000.0,42.0,25.0,11.0,1,1710,3,12,3.0,https://www.cian.ru/sale/flat/329266068
8700000.0,50.0,30.0,15.0,1,347,5,10,3.0,https://www.cian.ru/sale/flat/329026143
8500000.0,56.0,40.0,12.0,1,1765,3,4,3.0,https://www.cian.ru/sale/flat/329859278
5950000.0,59.54,36.7,8.9,1,331,8,9,3.0,https://www.cian.ru/sale/flat/328713012
9500000.0,50.0,30.0,10.0,1,382,3,9,2.5,https://www.cian.ru/sale/flat/297133133
3848000.0,48.1,19.4,16.8,1,118,12,14,3.0,https://www.cian.ru/sale/flat/325767999
4500000.0,33.0,20.0,8.0,1,191,3,14,2.75,https://www.cian.ru/sale/flat/325781025
8500000.0,66.5,16.0,35.0,1,216,2,13,3.1,https://www.cian.ru/sale/flat/326709307
8300000.0,48.9,26.0,17.0,1,436,6,9,3.0,https://www.cian.ru/sale/flat/322309937
6300000.0,45.0,30.0,10.0,1,193,7,9,2.7,https://www.cian.ru/sale/flat/322500091
4600000.0,36.4,12.2,11.5,1,472,2,7,3.0,https://www.cian.ru/sale/flat/321716192
7500000.0,60.0,5.9,12.5,1,211,7,7,2.8,https://www.cian.ru/sale/flat/320904617
6700000.0,30.0,18.0,6.0,1,1381,1,4,2.6,https://www.cian.ru/sale/flat/317858227
5200000.0,50.0,30.0,15.0,1,920,1,9,3.0,https://www.cian.ru/sale/flat/313416808
4600000.0,40.0,20.0,10.0,1,929,13,13,2.7,https://www.cian.ru/sale/flat/307830516
4300000.0,36.5,31.0,2.0,2,184,3,5,2.5,https://www.cian.ru/sale/flat/331296842
9450000.0,65.2,33.5,20.0,2,754,6,7,3.2,https://www.cian.ru/sale/flat/320957967
5600000.0,75.0,53.0,20.0,2,475,7,15,3.2,https://www.cian.ru/sale/flat/329055777
13500000.0,55.0,30.0,20.0,2,1402,2,2,3.0,https://www.cian.ru/sale/flat/331032690
10000000.0,71.05,36.0,15.7,2,1336,3,12,2.94,https://www.cian.ru/sale/flat/322814889
9150000.0,72.0,45.0,20.0,2,168,5,8,2.8,https://www.cian.ru/sale/flat/331520408
10700000.0,99.0,52.0,27.0,2,392,4,6,3.0,https://www.cian.ru/sale/flat/323325168
7000000.0,53.0,29.0,12.0,2,578,8,10,2.8,https://www.cian.ru/sale/flat/330823126
2700000.0,62.0,40.0,10.0,2,252,3,12,3.0,https://www.cian.ru/sale/flat/325460098
6690000.0,65.0,24.5,22.0,2,496,4,6,2.9,https://www.cian.ru/sale/flat/330869059
8990000.0,76.7,54.7,11.2,2,1388,11,11,2.6,https://www.cian.ru/sale/flat/330874094
7990000.0,51.0,35.4,5.4,2,323,1,5,2.6,https://www.cian.ru/sale/flat/331125021
6200000.0,58.4,26.2,19.2,2,1464,12,12,2.7,https://www.cian.ru/sale/flat/331370622
7350000.0,57.0,35.0,11.0,2,1733,8,9,2.5,https://www.cian.ru/sale/flat/330874096
7000000.0,55.0,29.4,9.5,2,1619,2,10,2.6,https://www.cian.ru/sale/flat/330965403
4920000.0,82.0,60.0,17.0,2,689,5,8,3.0,https://www.cian.ru/sale/flat/331511368
7800000.0,67.0,38.0,14.0,2,113,4,5,3.1,https://www.cian.ru/sale/flat/328966421
9500000.0,85.0,44.0,20.0,2,226,2,10,3.1,https://www.cian.ru/sale/flat/328966417
14500000.0,84.0,45.3,17.5,2,207,6,14,3.2,https://www.cian.ru/sale/flat/331683653
3600000.0,72.0,50.0,20.0,2,184,6,16,3.2,https://www.cian.ru/sale/flat/331589235
1980000.0,44.0,23.0,19.0,2,477,3,16,3.2,https://www.cian.ru/sale/flat/331585840
3000000.0,68.0,46.0,19.0,2,451,5,16,3.2,https://www.cian.ru/sale/flat/331629170
8000000.0,98.0,66.0,20.0,2,835,2,5,3.0,https://www.cian.ru/sale/flat/320649957
16500000.0,89.0,65.0,18.0,2,362,5,10,3.0,https://www.cian.ru/sale/flat/322848138
8160000.0,86.0,37.0,19.0,2,258,5,16,3.0,https://www.cian.ru/sale/flat/330745706
4790000.0,53.0,29.0,12.2,2,466,3,6,3.0,https://www.cian.ru/sale/flat/331120698
10000000.0,67.2,34.0,21.0,2,1080,8,9,3.02,https://www.cian.ru/sale/flat/330685659
8400000.0,60.0,27.0,12.0,2,206,7,10,3.0,https://www.cian.ru/sale/flat/330888690
5399999.0,48.0,28.0,5.5,2,199,4,4,2.9,https://www.cian.ru/sale/flat/330703721
5200000.0,45.0,34.0,6.0,2,325,2,5,2.5,https://www.cian.ru/sale/flat/331424735
8300000.0,78.0,49.0,19.0,2,205,11,13,3.0,https://www.cian.ru/sale/flat/330959760
6300000.0,48.0,30.8,2.9,2,334,8,10,2.8,https://www.cian.ru/sale/flat/331151244
7000000.0,82.0,38.9,24.4,2,1826,7,10,3.0,https://www.cian.ru/sale/flat/331370634
5800000.0,70.0,37.0,12.0,2,260,2,4,2.9,https://www.cian.ru/sale/flat/318592841
